id,Area Type,Area Name,Date,Year,Month,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65+
71,State,California,12/1/2013,2013,December,0.298,0.149,0.086,0.072,0.069,0.07,0.061
72,State,California,1/1/2014,2014,January,0.297,0.149,0.084,0.072,0.068,0.067,0.06
73,State,California,2/1/2014,2014,February,0.298,0.148,0.083,0.072,0.068,0.064,0.057
74,State,California,3/1/2014,2014,March,0.301,0.146,0.083,0.072,0.067,0.062,0.053
75,State,California,4/1/2014,2014,April,0.299,0.142,0.083,0.071,0.067,0.061,0.051
76,State,California,5/1/2014,2014,May,0.299,0.14,0.082,0.069,0.068,0.06,0.052
77,State,California,6/1/2014,2014,June,0.294,0.135,0.082,0.068,0.067,0.058,0.051
78,State,California,7/1/2014,2014,July,0.282,0.128,0.081,0.067,0.066,0.058,0.052
79,State,California,8/1/2014,2014,August,0.274,0.122,0.082,0.066,0.065,0.057,0.053
80,State,California,9/1/2014,2014,September,0.277,0.118,0.082,0.064,0.064,0.058,0.053
81,State,California,10/1/2014,2014,October,0.269,0.116,0.081,0.064,0.062,0.058,0.053
82,State,California,11/1/2014,2014,November,0.266,0.115,0.079,0.062,0.06,0.059,0.054
83,State,California,12/1/2014,2014,December,0.259,0.116,0.077,0.06,0.058,0.059,0.057
84,State,California,1/1/2015,2015,January,0.252,0.114,0.076,0.059,0.056,0.058,0.06
85,State,California,2/1/2015,2015,February,0.24,0.111,0.075,0.056,0.056,0.058,0.062
86,State,California,3/1/2015,2015,March,0.228,0.111,0.074,0.053,0.055,0.057,0.064
87,State,California,4/1/2015,2015,April,0.226,0.111,0.074,0.052,0.053,0.056,0.065
88,State,California,5/1/2015,2015,May,0.223,0.113,0.074,0.052,0.051,0.056,0.063
89,State,California,6/1/2015,2015,June,0.227,0.112,0.072,0.051,0.05,0.055,0.061
90,State,California,7/1/2015,2015,July,0.225,0.113,0.07,0.05,0.048,0.053,0.058
91,State,California,8/1/2015,2015,August,0.225,0.114,0.068,0.05,0.048,0.053,0.054
92,State,California,9/1/2015,2015,September,0.218,0.114,0.065,0.05,0.046,0.051,0.054
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
